trial_number,val_r2
0,-0.09299361705780029
1,0.3560304641723633
2,0.3657456636428833
3,0.34276944398880005
4,0.36957621574401855
5,0.3541438579559326
6,0.0
7,0.34276020526885986
8,0.37361079454421997
9,0.0
10,0.36938536167144775
11,0.0
12,0.0
13,0.0
14,0.38489246368408203
15,0.37148338556289673
16,0.35113245248794556
17,0.0
18,0.36116719245910645
19,0.37377363443374634
20,0.0
21,0.3667674660682678
22,0.37118810415267944
23,0.0
24,0.0
25,0.0
26,0.3386140465736389
27,0.0
28,0.0
29,0.35579729080200195
30,0.0
31,0.0
32,0.0
33,0.35465431213378906
34,0.34414952993392944
35,0.33475929498672485
36,0.0
37,0.0
38,0.3272694945335388
39,0.0
40,0.0
41,0.3539454936981201
42,0.3845122456550598
43,0.0
44,0.0
45,0.0
46,0.0
47,0.34768813848495483
48,0.0
49,0.0
50,0.3570232391357422
51,0.3472634553909302
52,0.0
53,0.3368169665336609
54,0.0
55,0.34445077180862427
56,0.32315582036972046
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.33998799324035645
65,0.0
66,0.32297593355178833
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.3578870892524719
78,0.0
79,0.34949880838394165
80,0.0
81,0.3568093180656433
82,0.0
83,0.3266228437423706
84,0.37553733587265015
85,0.348333477973938
86,0.36634254455566406
87,0.0
88,0.0
89,0.0
90,0.3534626364707947
91,0.0
92,0.0
93,0.0
94,0.0
95,0.33893316984176636
96,0.3551575541496277
97,0.0
98,0.3588505983352661
99,0.0
